Id,N,SR,spsList,threatCR,threatEN,threatVU,threatenedNumber,threatenedProportion,areaKM
Grid1,6,"4","Rhinella dorbignyi;Boana pulchella;Leptodactylus latrans;Leptodactylus latrans;Scinax granulatus;Boana pulchella","0","0","0","0",0,43.4998330667877
Grid10,132,"23","Rhinella arenarum;Rhinella arenarum;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Chthonerpeton indistinctum;Elachistocleis bicolor;Elachistocleis bicolor;Elachistocleis bicolor;Elachistocleis bicolor;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Leptodactylus gracilis;Leptodactylus gracilis;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus mystacinus;Leptodactylus mystacinus;Leptodactylus mystacinus;Leptodactylus mystacinus;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Melanophryniscus montevidensis;Melanophryniscus pachyrhynus;Melanophryniscus pachyrhynus;Melanophryniscus sanmartini;Odontophrynus americanus;Odontophrynus americanus;Odontophrynus americanus;Phyllomedusa iheringii;Phyllomedusa iheringii;Phyllomedusa iheringii;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Physalaemus henselii;Pleurodema bibroni;Pleurodema bibroni;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax squalirostris;Boana pulchella;Boana pulchella;Elachistocleis bicolor;Elachistocleis bicolor;Leptodactylus gracilis;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus latrans;Limnomedusa macroglossa;Odontophrynus americanus;Odontophrynus americanus;Phyllomedusa iheringii;Phyllomedusa iheringii;Physalaemus gracilis;Physalaemus gracilis;Pseudis minuta;Pseudis minuta;Pseudis minuta;Rhinella arenarum;Scinax granulatus;Scinax granulatus;Pleurodema bibroni;Limnomedusa macroglossa;Melanophryniscus pachyrhynus;Leptodactylus gracilis;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Physalaemus henselii;Rhinella fernandezae","0","0","1","1",0.00757575757575758,2472.36453221159
Grid11,63,"19","Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Elachistocleis bicolor;Elachistocleis bicolor;Boana pulchella;Boana pulchella;Boana pulchella;Dendropsophus sanborni;Julianus uruguayus;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus mystacinus;Leptodactylus latrans;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Melanophryniscus sanmartini;Odontophrynus americanus;Odontophrynus americanus;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Physalaemus gracilis;Pleurodema bibroni;Pleurodema bibroni;Pseudis minuta;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Scinax granulatus;Scinax squalirostris;Boana pulchella;Boana pulchella;Elachistocleis bicolor;Boana pulchella;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus gracilis;Limnomedusa macroglossa;Limnomedusa macroglossa;Odontophrynus americanus;Odontophrynus americanus;Physalaemus gracilis;Physalaemus gracilis;Pseudis minuta;Pseudis minuta;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Scinax granulatus;Scinax granulatus;Leptodactylus latrans;Limnomedusa macroglossa;Limnomedusa macroglossa;Melanophryniscus pachyrhynus;Melanophryniscus sanmartini;Physalaemus gracilis;Scinax squalirostris","0","0","0","0",0,2499.99999999997
Grid12,46,"22","Dendropsophus sanborni;Elachistocleis bicolor;Boana pulchella;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus mystacinus;Leptodactylus latrans;Melanophryniscus montevidensis;Odontophrynus americanus;Odontophrynus maisuma;Physalaemus gracilis;Pleurodema bibroni;Pseudis minuta;Pseudopaludicola falcipes;Rhinella arenarum;Rhinella dorbignyi;Scinax granulatus;Scinax squalirostris;Rhinella arenarum;Rhinella arenarum;Rhinella arenarum;Elachistocleis bicolor;Elachistocleis bicolor;Boana pulchella;Dendropsophus sanborni;Julianus uruguayus;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus mystacinus;Odontophrynus americanus;Physalaemus henselii;Pleurodema bibroni;Pseudis minuta;Pseudopaludicola falcipes;Ololygon berthae;Scinax granulatus;Scinax squalirostris;Ololygon aromothyella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Odontophrynus americanus;Odontophrynus americanus;Odontophrynus americanus;Pseudopaludicola falcipes","0","0","1","1",0.0217391304347826,2303.54482315441
Grid13,103,"20","Rhinella arenarum;Rhinella arenarum;Rhinella dorbignyi;Rhinella dorbignyi;Rhinella dorbignyi;Ceratophrys ornata;Ceratophrys ornata;Ceratophrys ornata;Chthonerpeton indistinctum;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Dendropsophus sanborni;Dendropsophus sanborni;Dendropsophus sanborni;Dendropsophus sanborni;Leptodactylus gracilis;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus latrans;Leptodactylus latrans;Leptodactylus latrans;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Melanophryniscus montevidensis;Odontophrynus americanus;Odontophrynus americanus;Physalaemus biligonigerus;Physalaemus gracilis;Pleurodema bibroni;Pleurodema bibroni;Pleurodema bibroni;Pleurodema bibroni;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudis minuta;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Scinax granulatus;Scinax granulatus;Scinax squalirostris;Scinax squalirostris;Scinax squalirostris;Scinax squalirostris;Scinax squalirostris;Scinax squalirostris;Dendropsophus sanborni;Boana pulchella;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latrans;Melanophryniscus montevidensis;Pseudis minuta;Pseudopaludicola falcipes;Scinax squalirostris;Boana pulchella;Physalaemus henselii;Pleurodema bibroni;Pseudis minuta;Elachistocleis bicolor;Leptodactylus latrans;Leptodactylus latinasus;Melanophryniscus montevidensis;Pseudis minuta;Pseudopaludicola falcipes;Rhinella arenarum;Pleurodema bibroni;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Boana pulchella;Odontophrynus americanus;Odontophrynus americanus;Odontophrynus americanus;Odontophrynus americanus;Pleurodema bibroni;Pseudis minuta;Rhinella arenarum;Scinax granulatus;Scinax granulatus;Scinax granulatus;Scinax squalirostris;Scinax squalirostris;Scinax squalirostris","0","0","9","9",0.087378640776699,775.099651902516
Grid14,14,"8","Rhinella dorbignyi;Rhinella dorbignyi;Boana pulchella;Dendropsophus sanborni;Leptodactylus mystacinus;Leptodactylus latrans;Leptodactylus latrans;Odontophrynus americanus;Odontophrynus americanus;Odontophrynus americanus;Pseudis minuta;Pseudopaludicola falcipes;Pseudopaludicola falcipes;Odontophrynus americanus","0","0","0","0",0,1011.41364299674
Grid15,2,"2","Rhinella dorbignyi;Leptodactylus latinasus","0","0","0","0",0,2486.21264881389
Grid16,17,"13","Rhinella dorbignyi;Rhinella dorbignyi;Elachistocleis bicolor;Boana pulchella;Boana pulchella;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus latinasus;Leptodactylus mystacinus;Leptodactylus latrans;Leptodactylus latrans;Limnomedusa macroglossa;Odontophrynus americanus;Pseudis minuta;Pseudopaludicola falcipes;Scinax granulatus;Physalaemus henselii","0","0","0","0",0,2499.99999999994
Grid17,23,"15","Rhinella dorbignyi;Rhinella dorbignyi;Elachistocleis bicolor;Boana pulchella;Dendropsophus sanborni;Leptodactylus gracilis;Leptodactylus latinasus;Leptodactylus mystacinus;Leptodactylus mystacinus;Leptodactylus mystacinus;Leptodactylus latrans;Limnomedusa macroglossa;Limnomedusa macroglossa;Limnomedusa macroglossa;Phyllomedusa iheringii;Physalaemus gracilis;Physalaemus gracilis;Physalaemus henselii;Pseudis minuta;Pseudis minuta;Pseudopaludicola falcipes;Scinax granulatus;Leptodactylus latrans","0","0","0","0",0,2499.99999999983
Grid18,3,"3","Rhinella arenarum;Physalaemus henselii;Scinax granulatus","0","0","0","0",0,2499.99999999994
